,Renda,Idade,Emprestimo,Finalidade,Tempo Trabalho,Taxa,Renda Emp.,Situação
30,11520,21,2000,MEDICAL,5.0,11.12,0.17,1
31,120000,25,32000,VENTURE,2.0,6.62,0.27,0
32,95000,26,31050,HOMEIMPROVEMENT,7.0,14.17,0.33,1
33,306000,25,24250,DEBTCONSOLIDATION,2.0,13.85,0.08,0
34,300000,26,7800,MEDICAL,10.0,13.49,0.03,0
35,12000,21,2500,EDUCATION,5.0,7.51,0.21,1
36,48000,22,30000,EDUCATION,1.0,18.39,0.63,1
37,64000,24,30000,DEBTCONSOLIDATION,8.0,14.54,0.47,1
38,75000,25,30000,HOMEIMPROVEMENT,4.0,16.89,0.4,1
40,62050,26,30000,MEDICAL,6.0,17.99,0.41,1
41,12000,24,2500,VENTURE,4.0,12.69,0.21,1
42,300000,26,20000,VENTURE,10.0,7.88,0.07,0
43,300000,23,24250,EDUCATION,1.0,19.41,0.08,0
44,300000,26,10000,HOMEIMPROVEMENT,9.0,10.38,0.03,0
45,300000,26,25000,EDUCATION,0.0,15.33,0.08,0
46,300000,25,18000,HOMEIMPROVEMENT,9.0,16.45,0.06,0
47,80690,26,30000,PERSONAL,8.0,7.49,0.37,1
48,66300,22,30000,MEDICAL,4.0,12.69,0.38,1
49,89028,26,30000,DEBTCONSOLIDATION,0.0,6.62,0.34,1
51,78000,23,30000,DEBTCONSOLIDATION,7.0,18.62,0.38,1
52,92004,23,30000,PERSONAL,6.0,15.23,0.33,1
53,97000,23,30000,VENTURE,7.0,10.65,0.31,1
54,120000,25,30000,EDUCATION,9.0,7.9,0.25,0
55,280000,26,10000,PERSONAL,4.0,15.96,0.04,0
56,277104,26,20000,VENTURE,0.0,11.48,0.07,0
58,128000,25,30000,PERSONAL,9.0,7.29,0.23,0
60,131000,21,30000,VENTURE,0.0,5.99,0.23,0
61,275000,22,12000,VENTURE,6.0,11.58,0.04,0
63,221850,25,25000,MEDICAL,9.0,15.7,0.1,1
64,70000,22,29100,EDUCATION,6.0,15.99,0.42,1
65,12000,22,1500,EDUCATION,7.0,14.84,0.13,0
66,260000,26,28000,HOMEIMPROVEMENT,10.0,10.99,0.11,0
67,259000,25,20000,HOMEIMPROVEMENT,9.0,14.42,0.08,0
68,255000,24,9600,EDUCATION,9.0,6.99,0.04,0
69,250000,25,25000,MEDICAL,2.0,13.49,0.1,0
72,12000,21,3000,EDUCATION,6.0,13.61,0.25,1
73,65000,23,28000,EDUCATION,2.0,7.9,0.43,1
74,85000,26,28000,VENTURE,2.0,7.49,0.33,1
75,12000,26,6100,EDUCATION,2.0,7.51,0.51,1
76,88000,22,28000,VENTURE,6.0,9.91,0.32,1
77,12000,21,4200,PERSONAL,0.0,13.48,0.35,1
78,12000,22,4750,DEBTCONSOLIDATION,6.0,7.14,0.4,1
79,83004,24,28000,VENTURE,0.0,15.99,0.34,1
80,250000,24,18000,EDUCATION,2.0,12.98,0.07,0
82,100000,25,28000,DEBTCONSOLIDATION,5.0,12.69,0.28,0
83,110000,26,28000,EDUCATION,10.0,8.9,0.25,0
86,151200,23,28000,DEBTCONSOLIDATION,7.0,11.11,0.19,0
88,12000,21,3250,DEBTCONSOLIDATION,5.0,15.68,0.27,1
89,70000,22,27500,EDUCATION,4.0,13.06,0.39,1
91,73200,26,27050,VENTURE,5.0,15.62,0.37,1
92,83000,24,27000,PERSONAL,5.0,13.49,0.33,1
94,62500,23,26000,MEDICAL,7.0,11.71,0.42,1
95,120000,23,25600,EDUCATION,1.0,12.69,0.21,0
96,12360,24,1600,MEDICAL,2.0,13.57,0.13,0
97,60000,22,25475,VENTURE,0.0,10.99,0.42,1
98,234000,25,20000,MEDICAL,3.0,14.27,0.09,0
99,234000,24,20000,HOMEIMPROVEMENT,8.0,8.88,0.09,0
100,234000,26,21600,HOMEIMPROVEMENT,10.0,12.18,0.09,0
101,221004,25,11900,DEBTCONSOLIDATION,6.0,14.42,0.05,1
102,232500,26,25000,MEDICAL,0.0,14.17,0.11,0
103,230000,25,35000,MEDICAL,5.0,13.99,0.15,0
104,83000,23,25300,EDUCATION,7.0,10.99,0.3,1
106,12600,25,1750,PERSONAL,3.0,13.61,0.14,0
107,42500,21,25000,EDUCATION,3.0,12.73,0.59,1
109,12816,25,3000,DEBTCONSOLIDATION,0.0,12.87,0.23,1
110,12960,24,3650,HOMEIMPROVEMENT,1.0,9.91,0.28,1
111,226000,26,20000,HOMEIMPROVEMENT,4.0,11.49,0.09,0
112,225000,25,30000,HOMEIMPROVEMENT,0.0,19.91,0.13,0
113,213000,26,35000,EDUCATION,6.0,10.65,0.16,1
115,12960,24,4500,DEBTCONSOLIDATION,0.0,11.83,0.35,1
116,12996,23,2400,DEBTCONSOLIDATION,0.0,13.49,0.18,1
117,42000,22,25000,MEDICAL,6.0,14.59,0.6,1
118,48000,26,25000,EDUCATION,2.0,9.64,0.52,1
119,12996,25,3600,MEDICAL,1.0,14.59,0.28,1
121,42360,25,25000,EDUCATION,1.0,16.35,0.59,1
122,49000,21,25000,EDUCATION,4.0,10.99,0.51,1
123,225000,25,25000,VENTURE,0.0,18.67,0.11,0
124,225000,26,3000,EDUCATION,1.0,9.32,0.01,0
125,225000,23,7500,DEBTCONSOLIDATION,8.0,8.63,0.03,0
126,225000,26,25000,VENTURE,2.0,10.08,0.11,0
127,49464,22,25000,PERSONAL,5.0,11.83,0.51,1
128,50000,23,25000,DEBTCONSOLIDATION,1.0,7.9,0.5,1
129,50000,25,25000,HOMEIMPROVEMENT,4.0,5.99,0.5,1
130,44000,24,25000,DEBTCONSOLIDATION,2.0,15.33,0.57,1
131,50000,23,25000,VENTURE,1.0,11.83,0.5,1
132,50004,22,25000,VENTURE,0.0,10.36,0.5,1
133,50004,22,25000,VENTURE,3.0,12.23,0.5,1
134,52000,22,25000,EDUCATION,2.0,11.11,0.48,1
135,13200,23,4950,DEBTCONSOLIDATION,3.0,7.9,0.38,1
136,220000,24,25000,EDUCATION,1.0,11.58,0.11,0
137,216000,23,21000,DEBTCONSOLIDATION,5.0,8.9,0.1,0
138,216000,25,25000,EDUCATION,2.0,16.07,0.12,0
139,216000,26,20000,EDUCATION,10.0,14.22,0.09,0
140,215000,23,35000,MEDICAL,7.0,14.79,0.16,0
141,215000,26,12000,EDUCATION,11.0,7.88,0.06,0
142,52000,23,25000,PERSONAL,1.0,13.22,0.48,1
143,46000,26,25000,DEBTCONSOLIDATION,2.0,11.86,0.54,1
144,53000,22,25000,EDUCATION,5.0,13.43,0.47,1
145,47000,26,25000,HOMEIMPROVEMENT,0.0,15.28,0.53,1
146,47000,23,25000,VENTURE,1.0,17.93,0.53,1
147,13200,23,1400,EDUCATION,2.0,9.25,0.11,0
148,13200,21,4500,VENTURE,0.0,12.98,0.34,1
149,210000,22,16000,VENTURE,6.0,10.62,0.08,0
150,210000,26,22000,PERSONAL,10.0,11.83,0.1,0
151,48000,26,25000,VENTURE,5.0,18.43,0.52,1
154,55000,23,25000,EDUCATION,4.0,11.36,0.45,1
155,55000,23,25000,EDUCATION,4.0,15.65,0.45,1
156,55164,24,25000,PERSONAL,8.0,13.22,0.45,1
157,56000,26,25000,DEBTCONSOLIDATION,4.0,12.87,0.45,1
158,203500,24,20000,MEDICAL,8.0,13.04,0.1,0
159,190000,23,22000,EDUCATION,5.0,17.58,0.12,1
160,13920,23,7750,PERSONAL,2.0,17.04,0.56,1
161,60000,24,25000,PERSONAL,0.0,10.99,0.42,1
162,60000,24,25000,PERSONAL,2.0,11.11,0.42,1
163,54000,26,25000,DEBTCONSOLIDATION,7.0,14.83,0.46,1
165,200000,24,12000,MEDICAL,8.0,12.69,0.06,0
166,200000,24,12000,HOMEIMPROVEMENT,8.0,13.49,0.06,0
167,200000,21,16000,EDUCATION,5.0,14.65,0.08,0
168,54000,25,25000,HOMEIMPROVEMENT,3.0,16.82,0.46,1
169,60000,23,25000,PERSONAL,3.0,12.73,0.42,1
170,60000,23,25000,PERSONAL,7.0,10.25,0.42,1
171,60000,21,25000,EDUCATION,6.0,10.99,0.42,1
172,61959,25,25000,MEDICAL,9.0,12.73,0.4,1
173,56400,22,25000,HOMEIMPROVEMENT,2.0,14.96,0.44,1
175,200000,21,25000,DEBTCONSOLIDATION,2.0,13.99,0.13,0
176,200000,24,24000,VENTURE,3.0,7.49,0.12,0
177,200000,26,15000,EDUCATION,4.0,14.79,0.07,0
178,200000,25,15500,DEBTCONSOLIDATION,2.0,11.99,0.08,0
179,200000,24,10000,EDUCATION,8.0,8.49,0.05,0
180,66000,24,25000,EDUCATION,3.0,9.91,0.38,1
181,66000,22,25000,EDUCATION,6.0,13.06,0.38,1
182,200000,22,9000,DEBTCONSOLIDATION,6.0,6.17,0.04,0
184,200000,25,18000,EDUCATION,5.0,16.32,0.09,0
185,200000,25,12000,VENTURE,2.0,10.38,0.06,0
186,200000,25,23050,PERSONAL,9.0,14.35,0.12,0
190,66996,26,25000,PERSONAL,10.0,15.21,0.37,1
191,67000,23,25000,EDUCATION,3.0,7.9,0.37,1
192,67000,24,25000,VENTURE,2.0,10.99,0.37,1
193,68000,24,25000,PERSONAL,5.0,14.09,0.37,1
194,69000,25,25000,PERSONAL,9.0,17.49,0.36,1
195,200000,25,12000,EDUCATION,0.0,11.48,0.06,0
196,188000,26,20000,VENTURE,10.0,17.74,0.11,1
197,200000,26,3000,PERSONAL,4.0,13.92,0.01,0
198,69996,25,25000,EDUCATION,9.0,15.21,0.36,1
199,14400,22,4000,MEDICAL,2.0,10.99,0.28,1
200,70000,24,25000,EDUCATION,3.0,11.86,0.36,1
201,14400,24,6000,PERSONAL,5.0,7.49,0.42,1
202,56100,24,25000,MEDICAL,7.0,16.49,0.38,1
203,66000,25,25000,VENTURE,9.0,15.33,0.38,1
204,66000,26,25000,HOMEIMPROVEMENT,3.0,11.58,0.38,1
205,14400,25,5375,EDUCATION,7.0,5.79,0.37,1
206,72612,25,25000,MEDICAL,9.0,13.11,0.34,1
207,74000,23,25000,MEDICAL,3.0,10.36,0.34,1
208,75000,25,25000,DEBTCONSOLIDATION,9.0,10.36,0.33,1
211,191000,25,10000,MEDICAL,1.0,12.53,0.05,0
214,75000,24,25000,EDUCATION,4.0,10.25,0.33,1
215,71000,22,25000,EDUCATION,1.0,15.95,0.35,1
216,190000,26,20000,VENTURE,3.0,12.18,0.11,0
217,189996,23,24000,PERSONAL,0.0,11.83,0.13,0
219,78000,23,25000,VENTURE,1.0,10.62,0.32,1
220,78504,23,25000,VENTURE,7.0,10.74,0.32,1
221,186000,25,10000,VENTURE,9.0,10.25,0.05,0
223,185000,25,15000,VENTURE,6.0,15.27,0.08,0
224,62050,24,25000,MEDICAL,8.0,15.33,0.34,1
225,79416,23,25000,VENTURE,7.0,15.21,0.31,1
226,14400,21,6250,VENTURE,4.0,14.72,0.43,1
227,79631,24,25000,PERSONAL,8.0,15.7,0.31,1
228,79632,24,25000,EDUCATION,0.0,13.35,0.31,1
230,80000,24,25000,EDUCATION,6.0,6.62,0.31,1
231,80000,26,25000,DEBTCONSOLIDATION,5.0,13.61,0.31,1
232,185000,22,25000,MEDICAL,4.0,11.36,0.14,0
233,185000,26,5000,PERSONAL,10.0,7.68,0.03,0
234,184992,24,22000,HOMEIMPROVEMENT,7.0,14.46,0.12,0
235,184000,23,2500,EDUCATION,5.0,11.83,0.01,0
236,172000,24,20000,DEBTCONSOLIDATION,6.0,13.47,0.12,1
237,183000,24,20000,MEDICAL,2.0,11.49,0.11,0
239,182952,25,15000,PERSONAL,9.0,6.03,0.08,0
240,74004,23,25000,DEBTCONSOLIDATION,7.0,16.35,0.34,1
242,81000,25,25000,DEBTCONSOLIDATION,5.0,7.29,0.31,1
243,81600,23,25000,MEDICAL,1.0,11.36,0.31,1
244,82000,24,25000,VENTURE,8.0,10.25,0.3,0
245,83000,24,25000,EDUCATION,5.0,11.12,0.3,0
246,83000,24,25000,PERSONAL,5.0,12.92,0.3,0
247,180000,24,18000,EDUCATION,8.0,18.64,0.1,0
248,180000,23,28000,PERSONAL,8.0,7.51,0.16,0
249,14400,23,4000,HOMEIMPROVEMENT,2.0,16.7,0.28,1
250,14400,22,2100,PERSONAL,0.0,11.14,0.15,0
251,84500,22,25000,PERSONAL,6.0,18.3,0.3,0
252,85000,24,25000,MEDICAL,5.0,10.62,0.29,0
253,180000,24,14000,VENTURE,7.0,11.99,0.08,0
254,180000,26,12000,VENTURE,2.0,9.63,0.07,0
255,142800,25,10000,MEDICAL,9.0,18.25,0.06,1
257,87000,24,25000,HOMEIMPROVEMENT,8.0,14.84,0.29,0
258,75000,24,25000,VENTURE,0.0,14.7,0.33,1
259,76000,23,25000,DEBTCONSOLIDATION,7.0,16.02,0.33,1
260,66215,23,25000,MEDICAL,1.0,15.37,0.32,1
261,90000,25,25000,MEDICAL,9.0,10.99,0.28,0
262,15000,21,6200,HOMEIMPROVEMENT,0.0,7.9,0.41,1
263,180000,26,25000,PERSONAL,2.0,10.99,0.14,0
264,180000,24,21000,EDUCATION,8.0,11.48,0.12,0
265,180000,25,20000,MEDICAL,9.0,14.26,0.11,0
266,180000,26,10000,HOMEIMPROVEMENT,0.0,8.0,0.06,0
267,180000,25,9950,VENTURE,3.0,11.26,0.06,0
269,78000,23,25000,VENTURE,2.0,16.32,0.32,1
270,66300,25,25000,MEDICAL,3.0,17.93,0.32,1
271,90000,23,25000,DEBTCONSOLIDATION,0.0,11.36,0.28,0
272,79000,24,25000,DEBTCONSOLIDATION,9.0,14.96,0.32,1
273,91800,24,25000,PERSONAL,4.0,13.43,0.27,0
274,92000,25,25000,HOMEIMPROVEMENT,6.0,12.69,0.27,0
275,92000,24,25000,VENTURE,1.0,12.73,0.27,0
276,93600,23,25000,VENTURE,3.0,15.21,0.27,0
277,15000,23,1750,MEDICAL,1.0,12.68,0.12,0
278,70550,23,25000,MEDICAL,3.0,19.04,0.3,1
279,83800,25,25000,DEBTCONSOLIDATION,2.0,15.95,0.3,1
280,175000,26,2600,VENTURE,3.0,8.9,0.01,0
281,175000,25,8000,HOMEIMPROVEMENT,10.0,7.9,0.05,0
283,175000,23,21000,PERSONAL,8.0,11.99,0.12,0
284,15000,23,4000,DEBTCONSOLIDATION,4.0,13.98,0.27,1
285,15000,23,4600,VENTURE,4.0,10.99,0.31,1
286,88000,22,25000,DEBTCONSOLIDATION,6.0,15.58,0.28,1
287,74800,25,25000,MEDICAL,2.0,10.99,0.28,1
288,88000,25,25000,VENTURE,0.0,14.96,0.28,1
289,15000,25,1750,HOMEIMPROVEMENT,2.0,15.31,0.12,0
290,88000,26,25000,VENTURE,2.0,15.65,0.28,1
291,100000,25,25000,VENTURE,1.0,9.33,0.25,0
292,15000,23,3600,PERSONAL,0.0,13.47,0.24,1
293,102400,24,25000,PERSONAL,8.0,10.36,0.24,0
294,92000,24,25000,HOMEIMPROVEMENT,1.0,16.77,0.27,1
295,93000,23,25000,DEBTCONSOLIDATION,0.0,14.59,0.27,1
296,175000,22,3500,VENTURE,6.0,11.91,0.02,0
297,175000,23,7200,EDUCATION,3.0,8.38,0.04,0
298,174708,25,9000,VENTURE,9.0,10.59,0.05,0
299,174000,25,8800,DEBTCONSOLIDATION,2.0,14.27,0.05,0
300,174000,26,12000,DEBTCONSOLIDATION,8.0,12.53,0.07,0
301,162000,25,25000,DEBTCONSOLIDATION,5.0,16.0,0.15,1
302,173467,26,10000,VENTURE,10.0,11.71,0.06,0
303,15000,21,3175,HOMEIMPROVEMENT,0.0,11.54,0.21,1
304,96000,25,25000,HOMEIMPROVEMENT,2.0,15.68,0.26,1
305,15120,21,1500,EDUCATION,0.0,10.59,0.1,0
306,97908,24,25000,HOMEIMPROVEMENT,8.0,12.61,0.26,1
308,15204,23,2800,PERSONAL,7.0,8.49,0.18,1
309,159600,25,30000,PERSONAL,0.0,17.27,0.19,1
310,171500,24,18000,DEBTCONSOLIDATION,6.0,8.9,0.1,0
311,170004,25,10000,MEDICAL,3.0,11.11,0.06,0
312,158004,24,25000,HOMEIMPROVEMENT,0.0,14.59,0.16,1
313,170000,26,13000,VENTURE,0.0,12.42,0.08,0
315,110000,24,25000,HOMEIMPROVEMENT,7.0,15.7,0.23,0
316,15360,22,2500,HOMEIMPROVEMENT,7.0,12.53,0.16,1
317,134300,25,5000,MEDICAL,3.0,16.49,0.03,1
318,170000,25,20000,EDUCATION,2.0,7.49,0.12,0
319,100580,22,25000,DEBTCONSOLIDATION,6.0,14.96,0.25,1
320,113000,25,25000,MEDICAL,7.0,12.73,0.22,0
321,120000,24,25000,EDUCATION,8.0,10.65,0.21,0
322,120000,25,25000,MEDICAL,6.0,10.74,0.21,0
323,120000,23,25000,EDUCATION,7.0,9.99,0.21,0
324,91800,24,25000,MEDICAL,5.0,15.33,0.23,1
325,15600,21,1000,VENTURE,5.0,7.29,0.06,0
326,108000,26,25000,PERSONAL,2.0,15.05,0.23,1
327,129996,26,25000,PERSONAL,6.0,10.75,0.19,0
328,130000,23,25000,EDUCATION,4.0,16.02,0.19,0
329,130000,23,25000,VENTURE,7.0,11.49,0.19,0
330,170000,25,20000,EDUCATION,4.0,12.53,0.12,0
331,170000,26,12000,VENTURE,0.0,13.57,0.07,0
332,169000,22,14000,PERSONAL,1.0,11.14,0.08,0
333,168750,26,24250,MEDICAL,10.0,12.87,0.14,0
334,168600,23,20000,EDUCATION,3.0,11.58,0.12,0
335,168288,24,1800,HOMEIMPROVEMENT,5.0,11.12,0.01,0
336,168000,25,35000,PERSONAL,2.0,10.65,0.21,0
337,133300,24,25000,DEBTCONSOLIDATION,6.0,10.37,0.19,0
338,15600,24,3300,HOMEIMPROVEMENT,5.0,6.39,0.21,1
339,134000,24,25000,PERSONAL,8.0,16.07,0.19,0
340,134000,25,25000,MEDICAL,7.0,10.62,0.19,0
341,15600,25,3200,VENTURE,0.0,18.09,0.21,1
342,135000,25,25000,EDUCATION,5.0,11.36,0.19,0
343,135660,26,25000,DEBTCONSOLIDATION,10.0,12.53,0.18,0
344,145000,25,25000,EDUCATION,0.0,9.99,0.17,0
345,150000,23,25000,EDUCATION,4.0,10.36,0.17,0
346,165000,23,9600,EDUCATION,3.0,5.99,0.06,0
347,153000,22,24000,DEBTCONSOLIDATION,5.0,15.62,0.16,1
348,165000,24,20000,PERSONAL,5.0,10.37,0.12,0
349,165000,25,25000,HOMEIMPROVEMENT,0.0,19.74,0.15,0
350,165000,21,20000,EDUCATION,5.0,6.91,0.12,0
351,16000,23,6000,MEDICAL,7.0,7.9,0.38,1
352,16000,23,2275,DEBTCONSOLIDATION,3.0,13.06,0.14,0
353,16000,23,2000,PERSONAL,7.0,6.39,0.13,0
354,148000,23,25000,DEBTCONSOLIDATION,1.0,14.93,0.17,1
355,16000,23,5600,MEDICAL,1.0,12.84,0.35,1
356,16020,24,3625,VENTURE,3.0,17.14,0.23,1
357,16094,22,5500,VENTURE,2.0,7.14,0.34,1
358,175000,25,25000,PERSONAL,2.0,8.9,0.14,0
359,16200,22,2000,PERSONAL,6.0,12.42,0.12,0
360,185000,24,25000,HOMEIMPROVEMENT,7.0,12.68,0.14,0
361,162000,25,25000,PERSONAL,9.0,11.03,0.15,0
362,161000,26,30000,VENTURE,10.0,7.9,0.19,0
363,160000,22,35000,MEDICAL,0.0,10.65,0.22,0
364,225000,25,25000,VENTURE,5.0,11.86,0.11,0
365,16400,25,5000,PERSONAL,1.0,8.94,0.3,1
366,16500,23,4375,VENTURE,6.0,9.63,0.27,1
367,49500,25,24750,PERSONAL,6.0,14.22,0.5,1
368,60000,23,24750,DEBTCONSOLIDATION,4.0,9.33,0.41,1
369,84200,24,24500,MEDICAL,8.0,13.85,0.29,0
370,16800,22,2000,EDUCATION,5.0,10.65,0.12,0
371,92000,24,24500,MEDICAL,8.0,11.46,0.27,0
372,160000,23,35000,PERSONAL,5.0,7.66,0.22,0
373,160000,24,12000,VENTURE,9.0,16.77,0.07,0
374,160000,25,12000,PERSONAL,1.0,9.63,0.07,0
375,160000,26,25000,PERSONAL,6.0,12.23,0.16,0
376,125800,25,10000,MEDICAL,0.0,14.09,0.07,1
377,54000,25,24250,PERSONAL,2.0,13.98,0.45,1
378,62500,23,24250,EDUCATION,1.0,10.62,0.39,1
380,68400,25,24250,PERSONAL,9.0,17.56,0.35,1
381,56045,26,24250,MEDICAL,1.0,14.96,0.37,1
382,74000,22,24250,DEBTCONSOLIDATION,7.0,15.65,0.33,1
383,65453,24,24250,MEDICAL,9.0,15.7,0.31,1
384,89908,24,24250,VENTURE,1.0,12.53,0.27,0
385,78000,26,24250,HOMEIMPROVEMENT,0.0,17.56,0.31,1
386,100000,23,24250,PERSONAL,0.0,12.87,0.24,0
387,103000,23,24250,PERSONAL,6.0,15.7,0.24,0
389,160000,25,15000,VENTURE,5.0,11.14,0.09,0
390,160000,24,20000,VENTURE,3.0,16.0,0.13,0
391,160000,23,25000,EDUCATION,2.0,15.65,0.16,0
393,160000,21,15250,VENTURE,3.0,15.31,0.1,0
394,160000,25,20000,VENTURE,3.0,13.47,0.13,0
395,16800,22,4750,HOMEIMPROVEMENT,0.0,13.85,0.28,1
397,16800,21,6000,VENTURE,0.0,10.39,0.36,1
398,115200,25,24250,HOMEIMPROVEMENT,0.0,11.36,0.21,0
399,144000,23,24250,EDUCATION,0.0,11.83,0.17,0
400,287000,23,24250,EDUCATION,3.0,12.53,0.08,0
401,108000,22,24150,HOMEIMPROVEMENT,1.0,14.96,0.22,1
402,43000,22,24000,DEBTCONSOLIDATION,7.0,13.85,0.56,1
403,47004,23,24000,VENTURE,1.0,11.58,0.51,1
404,48000,24,24000,VENTURE,4.0,16.29,0.5,1
406,44964,21,24000,EDUCATION,2.0,16.29,0.53,1
409,47000,24,24000,PERSONAL,3.0,17.8,0.51,1
410,17400,22,1000,VENTURE,6.0,11.36,0.06,0
411,49000,22,24000,MEDICAL,2.0,17.56,0.49,1
412,60000,26,24000,PERSONAL,0.0,7.9,0.4,1
413,60000,25,24000,PERSONAL,3.0,10.99,0.4,1
414,60000,22,24000,PERSONAL,0.0,7.29,0.4,1
415,60000,21,24000,MEDICAL,5.0,10.75,0.4,1
416,62004,26,24000,DEBTCONSOLIDATION,9.0,7.9,0.39,1
417,62400,22,24000,EDUCATION,3.0,14.84,0.38,1
420,59000,23,24000,DEBTCONSOLIDATION,5.0,19.69,0.41,1
422,60000,24,24000,VENTURE,0.0,14.96,0.4,1
423,66143,25,24000,EDUCATION,9.0,6.99,0.36,1
424,62250,22,24000,PERSONAL,3.0,16.45,0.39,1
425,70000,24,24000,EDUCATION,8.0,10.99,0.34,1
426,74000,23,24000,DEBTCONSOLIDATION,7.0,10.99,0.32,1
427,18000,22,3000,PERSONAL,3.0,7.9,0.17,1
428,75000,22,24000,EDUCATION,6.0,12.69,0.32,1
429,75000,24,24000,MEDICAL,9.0,10.37,0.32,1
431,69000,26,24000,DEBTCONSOLIDATION,0.0,15.83,0.35,1
432,78000,23,24000,PERSONAL,4.0,13.92,0.31,1
434,80000,24,24000,MEDICAL,2.0,10.25,0.3,0
435,18000,22,3500,HOMEIMPROVEMENT,1.0,7.49,0.19,1
436,18000,23,4000,EDUCATION,3.0,5.99,0.22,1
437,74700,23,24000,PERSONAL,6.0,12.92,0.32,1
438,88596,26,24000,PERSONAL,3.0,11.58,0.27,0
439,95000,25,24000,EDUCATION,4.0,8.9,0.25,0
440,83000,22,24000,DEBTCONSOLIDATION,6.0,19.69,0.29,1
441,95000,25,24000,VENTURE,9.0,6.54,0.25,0
442,18000,21,4900,HOMEIMPROVEMENT,3.0,14.54,0.27,1
444,100000,26,24000,PERSONAL,5.0,12.73,0.24,0
445,110000,24,24000,VENTURE,7.0,15.62,0.22,0
446,18000,24,6250,HOMEIMPROVEMENT,0.0,6.54,0.35,1
448,103872,26,24000,DEBTCONSOLIDATION,6.0,20.03,0.23,1
449,120000,22,24000,EDUCATION,4.0,9.91,0.2,0
450,120000,24,24000,VENTURE,1.0,12.69,0.2,0
451,108000,26,24000,EDUCATION,9.0,20.16,0.22,1
452,124080,24,24000,PERSONAL,4.0,16.49,0.19,0
453,18000,23,2500,MEDICAL,1.0,15.95,0.14,1
454,130000,24,24000,DEBTCONSOLIDATION,7.0,11.49,0.18,0
455,135000,25,24000,PERSONAL,8.0,10.99,0.18,0
456,135000,24,24000,HOMEIMPROVEMENT,4.0,13.79,0.18,0
457,114750,23,24000,MEDICAL,2.0,20.03,0.18,1
458,150000,23,24000,EDUCATION,0.0,7.49,0.16,0
459,138000,23,24000,DEBTCONSOLIDATION,7.0,16.0,0.17,1
460,18000,24,13000,PERSONAL,6.0,7.88,0.72,1
461,18000,21,6250,VENTURE,0.0,10.62,0.35,1
462,155000,26,24000,DEBTCONSOLIDATION,7.0,10.99,0.15,0
463,148000,26,24000,EDUCATION,1.0,18.3,0.16,1
465,18000,21,2500,PERSONAL,1.0,11.36,0.14,0
467,120000,23,23750,MEDICAL,4.0,13.47,0.2,0
468,54996,24,23600,PERSONAL,2.0,11.89,0.43,1
469,18000,24,10000,DEBTCONSOLIDATION,0.0,12.18,0.56,1
470,102000,25,23600,DEBTCONSOLIDATION,9.0,13.49,0.23,0
471,75000,23,23575,PERSONAL,3.0,14.5,0.31,1
473,18000,22,5400,MEDICAL,1.0,15.31,0.3,1
476,66960,22,23400,VENTURE,1.0,7.49,0.35,1
479,60000,23,23000,VENTURE,2.0,12.18,0.38,1
480,18000,24,1200,VENTURE,3.0,11.34,0.07,0
481,63208,25,23000,EDUCATION,9.0,9.91,0.36,1
482,65000,24,23000,HOMEIMPROVEMENT,0.0,11.99,0.35,1
483,68000,23,23000,EDUCATION,7.0,9.62,0.34,1
484,18000,22,3000,DEBTCONSOLIDATION,1.0,9.96,0.17,1
486,88000,24,23000,VENTURE,1.0,14.54,0.26,1
487,58600,22,22750,MEDICAL,5.0,11.36,0.39,1
