,Renda,Idade,Emprestimo,Finalidade,Tempo Trabalho,Taxa,Situação
125,46000,26,25000,2,2.0,11.86,1
126,53000,22,25000,3,5.0,13.43,1
127,47000,26,25000,4,0.0,15.28,1
128,47000,23,25000,6,1.0,17.93,1
129,13200,23,1400,3,2.0,9.25,0
130,13200,21,4500,6,0.0,12.98,1
131,210000,22,16000,6,6.0,10.62,0
132,210000,26,22000,1,10.0,11.83,0
133,48000,26,25000,6,5.0,18.43,1
134,55000,23,25000,3,4.0,11.36,1
135,55000,23,25000,3,4.0,15.65,1
136,55164,24,25000,1,8.0,13.22,1
137,56000,26,25000,2,4.0,12.87,1
138,203500,24,20000,5,8.0,13.04,0
139,190000,23,22000,3,5.0,17.58,1
140,13920,23,7750,1,2.0,17.04,1
141,60000,24,25000,1,0.0,10.99,1
142,60000,24,25000,1,2.0,11.11,1
143,54000,26,25000,2,7.0,14.83,1
144,200000,24,12000,5,8.0,12.69,0
145,200000,24,12000,4,8.0,13.49,0
146,200000,21,16000,3,5.0,14.65,0
147,54000,25,25000,4,3.0,16.82,1
148,60000,23,25000,1,3.0,12.73,1
149,60000,23,25000,1,7.0,10.25,1
150,60000,21,25000,3,6.0,10.99,1
151,61959,25,25000,5,9.0,12.73,1
152,56400,22,25000,4,2.0,14.96,1
153,200000,21,25000,2,2.0,13.99,0
154,200000,24,24000,6,3.0,7.49,0
155,200000,26,15000,3,4.0,14.79,0
156,200000,25,15500,2,2.0,11.99,0
157,200000,24,10000,3,8.0,8.49,0
158,66000,24,25000,3,3.0,9.91,1
159,66000,22,25000,3,6.0,13.06,1
160,200000,22,9000,2,6.0,6.17,0
161,200000,25,18000,3,5.0,16.32,0
162,200000,25,12000,6,2.0,10.38,0
163,200000,25,23050,1,9.0,14.35,0
164,66996,26,25000,1,10.0,15.21,1
165,67000,23,25000,3,3.0,7.9,1
166,67000,24,25000,6,2.0,10.99,1
167,68000,24,25000,1,5.0,14.09,1
168,69000,25,25000,1,9.0,17.49,1
169,200000,25,12000,3,0.0,11.48,0
170,188000,26,20000,6,10.0,17.74,1
171,200000,26,3000,1,4.0,13.92,0
172,69996,25,25000,3,9.0,15.21,1
173,14400,22,4000,5,2.0,10.99,1
174,70000,24,25000,3,3.0,11.86,1
175,14400,24,6000,1,5.0,7.49,1
176,56100,24,25000,5,7.0,16.49,1
177,66000,25,25000,6,9.0,15.33,1
178,66000,26,25000,4,3.0,11.58,1
179,14400,25,5375,3,7.0,5.79,1
180,72612,25,25000,5,9.0,13.11,1
181,74000,23,25000,5,3.0,10.36,1
182,75000,25,25000,2,9.0,10.36,1
183,191000,25,10000,5,1.0,12.53,0
184,75000,24,25000,3,4.0,10.25,1
185,71000,22,25000,3,1.0,15.95,1
186,190000,26,20000,6,3.0,12.18,0
187,189996,23,24000,1,0.0,11.83,0
188,78000,23,25000,6,1.0,10.62,1
189,78504,23,25000,6,7.0,10.74,1
190,186000,25,10000,6,9.0,10.25,0
191,185000,25,15000,6,6.0,15.27,0
192,62050,24,25000,5,8.0,15.33,1
193,79416,23,25000,6,7.0,15.21,1
194,14400,21,6250,6,4.0,14.72,1
195,79631,24,25000,1,8.0,15.7,1
196,79632,24,25000,3,0.0,13.35,1
197,80000,24,25000,3,6.0,6.62,1
198,80000,26,25000,2,5.0,13.61,1
199,185000,22,25000,5,4.0,11.36,0
200,185000,26,5000,1,10.0,7.68,0
201,184992,24,22000,4,7.0,14.46,0
202,184000,23,2500,3,5.0,11.83,0
203,172000,24,20000,2,6.0,13.47,1
204,183000,24,20000,5,2.0,11.49,0
205,182952,25,15000,1,9.0,6.03,0
206,74004,23,25000,2,7.0,16.35,1
207,81000,25,25000,2,5.0,7.29,1
208,81600,23,25000,5,1.0,11.36,1
209,82000,24,25000,6,8.0,10.25,0
210,83000,24,25000,3,5.0,11.12,0
211,83000,24,25000,1,5.0,12.92,0
212,180000,24,18000,3,8.0,18.64,0
213,180000,23,28000,1,8.0,7.51,0
214,14400,23,4000,4,2.0,16.7,1
215,14400,22,2100,1,0.0,11.14,0
216,84500,22,25000,1,6.0,18.3,0
217,85000,24,25000,5,5.0,10.62,0
218,180000,24,14000,6,7.0,11.99,0
219,180000,26,12000,6,2.0,9.63,0
220,142800,25,10000,5,9.0,18.25,1
221,87000,24,25000,4,8.0,14.84,0
222,75000,24,25000,6,0.0,14.7,1
223,76000,23,25000,2,7.0,16.02,1
224,66215,23,25000,5,1.0,15.37,1
225,90000,25,25000,5,9.0,10.99,0
226,15000,21,6200,4,0.0,7.9,1
227,180000,26,25000,1,2.0,10.99,0
228,180000,24,21000,3,8.0,11.48,0
229,180000,25,20000,5,9.0,14.26,0
230,180000,26,10000,4,0.0,8.0,0
231,180000,25,9950,6,3.0,11.26,0
232,78000,23,25000,6,2.0,16.32,1
233,66300,25,25000,5,3.0,17.93,1
234,90000,23,25000,2,0.0,11.36,0
235,79000,24,25000,2,9.0,14.96,1
236,91800,24,25000,1,4.0,13.43,0
237,92000,25,25000,4,6.0,12.69,0
238,92000,24,25000,6,1.0,12.73,0
239,93600,23,25000,6,3.0,15.21,0
240,15000,23,1750,5,1.0,12.68,0
241,70550,23,25000,5,3.0,19.04,1
242,83800,25,25000,2,2.0,15.95,1
243,175000,26,2600,6,3.0,8.9,0
244,175000,25,8000,4,10.0,7.9,0
245,175000,23,21000,1,8.0,11.99,0
246,15000,23,4000,2,4.0,13.98,1
247,15000,23,4600,6,4.0,10.99,1
248,88000,22,25000,2,6.0,15.58,1
249,74800,25,25000,5,2.0,10.99,1
250,88000,25,25000,6,0.0,14.96,1
251,15000,25,1750,4,2.0,15.31,0
252,88000,26,25000,6,2.0,15.65,1
253,100000,25,25000,6,1.0,9.33,0
254,15000,23,3600,1,0.0,13.47,1
255,102400,24,25000,1,8.0,10.36,0
256,92000,24,25000,4,1.0,16.77,1
257,93000,23,25000,2,0.0,14.59,1
258,175000,22,3500,6,6.0,11.91,0
259,175000,23,7200,3,3.0,8.38,0
260,174708,25,9000,6,9.0,10.59,0
261,174000,25,8800,2,2.0,14.27,0
262,174000,26,12000,2,8.0,12.53,0
263,162000,25,25000,2,5.0,16.0,1
264,173467,26,10000,6,10.0,11.71,0
265,15000,21,3175,4,0.0,11.54,1
266,96000,25,25000,4,2.0,15.68,1
267,15120,21,1500,3,0.0,10.59,0
268,97908,24,25000,4,8.0,12.61,1
269,15204,23,2800,1,7.0,8.49,1
270,159600,25,30000,1,0.0,17.27,1
271,171500,24,18000,2,6.0,8.9,0
272,170004,25,10000,5,3.0,11.11,0
273,158004,24,25000,4,0.0,14.59,1
274,170000,26,13000,6,0.0,12.42,0
275,110000,24,25000,4,7.0,15.7,0
276,15360,22,2500,4,7.0,12.53,1
277,134300,25,5000,5,3.0,16.49,1
278,170000,25,20000,3,2.0,7.49,0
279,100580,22,25000,2,6.0,14.96,1
280,113000,25,25000,5,7.0,12.73,0
281,120000,24,25000,3,8.0,10.65,0
282,120000,25,25000,5,6.0,10.74,0
283,120000,23,25000,3,7.0,9.99,0
284,91800,24,25000,5,5.0,15.33,1
285,15600,21,1000,6,5.0,7.29,0
286,108000,26,25000,1,2.0,15.05,1
287,129996,26,25000,1,6.0,10.75,0
288,130000,23,25000,3,4.0,16.02,0
289,130000,23,25000,6,7.0,11.49,0
290,170000,25,20000,3,4.0,12.53,0
291,170000,26,12000,6,0.0,13.57,0
292,169000,22,14000,1,1.0,11.14,0
293,168750,26,24250,5,10.0,12.87,0
294,168600,23,20000,3,3.0,11.58,0
295,168288,24,1800,4,5.0,11.12,0
296,168000,25,35000,1,2.0,10.65,0
297,133300,24,25000,2,6.0,10.37,0
298,15600,24,3300,4,5.0,6.39,1
299,134000,24,25000,1,8.0,16.07,0
300,134000,25,25000,5,7.0,10.62,0
301,15600,25,3200,6,0.0,18.09,1
302,135000,25,25000,3,5.0,11.36,0
303,135660,26,25000,2,10.0,12.53,0
304,145000,25,25000,3,0.0,9.99,0
305,150000,23,25000,3,4.0,10.36,0
306,165000,23,9600,3,3.0,5.99,0
307,153000,22,24000,2,5.0,15.62,1
308,165000,24,20000,1,5.0,10.37,0
309,165000,25,25000,4,0.0,19.74,0
310,165000,21,20000,3,5.0,6.91,0
311,16000,23,6000,5,7.0,7.9,1
312,16000,23,2275,2,3.0,13.06,0
313,16000,23,2000,1,7.0,6.39,0
314,148000,23,25000,2,1.0,14.93,1
315,16000,23,5600,5,1.0,12.84,1
316,16020,24,3625,6,3.0,17.14,1
317,16094,22,5500,6,2.0,7.14,1
318,175000,25,25000,1,2.0,8.9,0
319,16200,22,2000,1,6.0,12.42,0
320,185000,24,25000,4,7.0,12.68,0
321,162000,25,25000,1,9.0,11.03,0
322,161000,26,30000,6,10.0,7.9,0
323,160000,22,35000,5,0.0,10.65,0
324,225000,25,25000,6,5.0,11.86,0
325,16400,25,5000,1,1.0,8.94,1
326,16500,23,4375,6,6.0,9.63,1
327,49500,25,24750,1,6.0,14.22,1
328,60000,23,24750,2,4.0,9.33,1
329,84200,24,24500,5,8.0,13.85,0
330,16800,22,2000,3,5.0,10.65,0
331,92000,24,24500,5,8.0,11.46,0
332,160000,23,35000,1,5.0,7.66,0
333,160000,24,12000,6,9.0,16.77,0
334,160000,25,12000,1,1.0,9.63,0
335,160000,26,25000,1,6.0,12.23,0
336,125800,25,10000,5,0.0,14.09,1
337,54000,25,24250,1,2.0,13.98,1
338,62500,23,24250,3,1.0,10.62,1
339,68400,25,24250,1,9.0,17.56,1
340,56045,26,24250,5,1.0,14.96,1
341,74000,22,24250,2,7.0,15.65,1
342,65453,24,24250,5,9.0,15.7,1
343,89908,24,24250,6,1.0,12.53,0
344,78000,26,24250,4,0.0,17.56,1
345,100000,23,24250,1,0.0,12.87,0
346,103000,23,24250,1,6.0,15.7,0
347,160000,25,15000,6,5.0,11.14,0
348,160000,24,20000,6,3.0,16.0,0
349,160000,23,25000,3,2.0,15.65,0
350,160000,21,15250,6,3.0,15.31,0
351,160000,25,20000,6,3.0,13.47,0
352,16800,22,4750,4,0.0,13.85,1
353,16800,21,6000,6,0.0,10.39,1
354,115200,25,24250,4,0.0,11.36,0
355,144000,23,24250,3,0.0,11.83,0
356,287000,23,24250,3,3.0,12.53,0
357,108000,22,24150,4,1.0,14.96,1
358,43000,22,24000,2,7.0,13.85,1
359,47004,23,24000,6,1.0,11.58,1
360,48000,24,24000,6,4.0,16.29,1
361,44964,21,24000,3,2.0,16.29,1
362,47000,24,24000,1,3.0,17.8,1
363,17400,22,1000,6,6.0,11.36,0
364,49000,22,24000,5,2.0,17.56,1
365,60000,26,24000,1,0.0,7.9,1
366,60000,25,24000,1,3.0,10.99,1
367,60000,22,24000,1,0.0,7.29,1
368,60000,21,24000,5,5.0,10.75,1
369,62004,26,24000,2,9.0,7.9,1
370,62400,22,24000,3,3.0,14.84,1
371,59000,23,24000,2,5.0,19.69,1
372,60000,24,24000,6,0.0,14.96,1
373,66143,25,24000,3,9.0,6.99,1
374,62250,22,24000,1,3.0,16.45,1
375,70000,24,24000,3,8.0,10.99,1
376,74000,23,24000,2,7.0,10.99,1
377,18000,22,3000,1,3.0,7.9,1
378,75000,22,24000,3,6.0,12.69,1
379,75000,24,24000,5,9.0,10.37,1
380,69000,26,24000,2,0.0,15.83,1
381,78000,23,24000,1,4.0,13.92,1
382,80000,24,24000,5,2.0,10.25,0
383,18000,22,3500,4,1.0,7.49,1
384,18000,23,4000,3,3.0,5.99,1
385,74700,23,24000,1,6.0,12.92,1
386,88596,26,24000,1,3.0,11.58,0
387,95000,25,24000,3,4.0,8.9,0
388,83000,22,24000,2,6.0,19.69,1
389,95000,25,24000,6,9.0,6.54,0
390,18000,21,4900,4,3.0,14.54,1
391,100000,26,24000,1,5.0,12.73,0
392,110000,24,24000,6,7.0,15.62,0
393,18000,24,6250,4,0.0,6.54,1
394,103872,26,24000,2,6.0,20.03,1
395,120000,22,24000,3,4.0,9.91,0
396,120000,24,24000,6,1.0,12.69,0
397,108000,26,24000,3,9.0,20.16,1
398,124080,24,24000,1,4.0,16.49,0
399,18000,23,2500,5,1.0,15.95,1
400,130000,24,24000,2,7.0,11.49,0
401,135000,25,24000,1,8.0,10.99,0
402,135000,24,24000,4,4.0,13.79,0
403,114750,23,24000,5,2.0,20.03,1
404,150000,23,24000,3,0.0,7.49,0
405,138000,23,24000,2,7.0,16.0,1
406,18000,24,13000,1,6.0,7.88,1
407,18000,21,6250,6,0.0,10.62,1
408,155000,26,24000,2,7.0,10.99,0
409,148000,26,24000,3,1.0,18.3,1
410,18000,21,2500,1,1.0,11.36,0
411,120000,23,23750,5,4.0,13.47,0
412,54996,24,23600,1,2.0,11.89,1
413,18000,24,10000,2,0.0,12.18,1
414,102000,25,23600,2,9.0,13.49,0
415,75000,23,23575,1,3.0,14.5,1
416,18000,22,5400,5,1.0,15.31,1
417,66960,22,23400,6,1.0,7.49,1
418,60000,23,23000,6,2.0,12.18,1
419,18000,24,1200,6,3.0,11.34,0
420,63208,25,23000,3,9.0,9.91,1
421,65000,24,23000,4,0.0,11.99,1
422,68000,23,23000,3,7.0,9.62,1
423,18000,22,3000,2,1.0,9.96,1
424,88000,24,23000,6,1.0,14.54,1
425,58600,22,22750,5,5.0,11.36,1
426,70000,23,22500,2,7.0,14.27,1
427,18287,24,3000,4,3.0,11.99,1
428,69846,26,22500,3,2.0,18.99,1
429,73000,24,22400,6,0.0,16.7,1
430,18500,24,5000,1,8.0,9.32,1
431,35000,23,22250,2,2.0,12.69,1
432,43000,25,22000,4,9.0,13.11,1
433,52000,25,22000,1,4.0,10.74,1
434,18701,21,4200,1,0.0,14.11,1
435,57000,22,22000,3,6.0,9.63,1
436,58000,25,22000,5,0.0,14.65,1
437,60000,23,22000,2,6.0,10.25,1
438,60000,24,22000,6,3.0,14.26,1
439,18840,25,3000,3,5.0,9.91,1
440,56000,26,22000,5,7.0,17.19,1
441,70000,22,22000,3,3.0,11.36,1
442,74064,23,22000,2,3.0,10.59,0
443,76597,24,22000,3,5.0,9.25,0
444,19000,22,3625,5,6.0,8.49,1
445,77000,26,22000,6,0.0,6.54,0
446,19000,21,6000,5,5.0,8.49,1
447,82600,26,22000,6,10.0,12.69,0
448,19000,24,7400,5,3.0,13.85,1
449,19000,25,4000,2,3.0,7.4,1
450,84000,23,22000,2,3.0,11.71,0
451,77650,25,22000,1,8.0,11.48,1
452,82000,25,22000,3,1.0,17.51,1
453,19012,21,3500,2,0.0,14.61,1
454,99996,23,22000,2,3.0,7.88,0
455,19200,22,4950,1,6.0,11.71,1
456,57000,25,21700,1,4.0,11.99,1
457,54000,24,21600,6,5.0,13.49,1
458,56000,23,21600,5,8.0,21.21,1
459,63000,26,21600,2,2.0,14.35,1
460,82000,22,21600,1,3.0,13.61,0
461,78000,22,21600,2,6.0,11.26,1
462,19200,22,2400,6,0.0,10.59,0
463,112140,24,21600,5,8.0,7.9,0
464,19200,25,3000,3,4.0,11.99,1
465,59000,24,21500,5,5.0,16.89,1
466,70000,24,21500,4,5.0,9.99,1
467,116000,24,21500,3,5.0,15.33,0
468,60000,25,21450,3,5.0,7.29,1
469,31000,22,21250,2,5.0,12.42,1
470,47052,25,21250,6,5.0,10.99,1
471,51060,25,21250,6,9.0,6.91,1
472,19200,22,5000,2,6.0,14.17,1
473,53000,22,21250,5,3.0,10.25,1
474,56000,24,21250,6,8.0,15.95,1
475,65000,24,21250,3,4.0,15.95,1
476,35000,21,21000,6,3.0,12.53,1
477,19200,22,1400,4,6.0,14.91,1
478,40000,26,21000,5,3.0,6.54,1
479,42000,26,21000,5,0.0,17.26,1
480,63000,23,21000,5,2.0,11.36,1
481,19200,26,4000,6,5.0,7.51,1
482,59000,22,21000,1,2.0,10.71,1
483,70500,22,21000,1,3.0,13.98,0
484,65219,26,21000,2,11.0,14.09,1
485,75000,22,21000,3,2.0,10.0,0
486,19200,22,5000,5,3.0,15.33,1
487,62047,25,21000,5,9.0,16.32,1
488,79000,24,21000,4,8.0,7.9,0
489,80000,23,21000,5,3.0,11.99,0
490,84000,24,21000,5,8.0,10.75,0
491,85000,26,21000,4,3.0,13.92,0
492,93000,22,21000,3,1.0,9.91,0
493,81000,26,21000,3,10.0,16.95,1
494,97000,26,21000,3,1.0,7.9,0
495,100000,25,21000,1,2.0,16.49,1
496,19200,26,7500,1,0.0,11.97,1
497,125000,26,21000,4,5.0,8.9,0
498,125000,25,21000,3,9.0,12.99,0
499,82000,23,20900,1,2.0,12.69,0
500,19500,21,15000,3,0.0,9.64,1
501,50000,26,20500,6,7.0,7.49,1
502,70000,23,20500,3,2.0,13.16,0
503,19800,22,2100,3,1.0,8.38,0
504,54000,23,20375,1,7.0,7.49,1
505,26000,26,20050,3,10.0,9.76,1
506,33000,24,20000,2,1.0,10.99,1
507,20000,23,5000,1,0.0,11.71,0
508,20000,22,9250,1,6.0,10.65,0
509,35364,24,20000,5,1.0,12.53,1
510,38000,25,20000,5,4.0,14.59,1
511,32000,23,20000,2,3.0,12.61,1
512,38004,25,20000,5,6.0,13.11,1
513,20000,23,6400,5,2.0,10.65,0
514,38556,25,20000,1,9.0,11.22,1
515,32900,23,20000,3,1.0,16.0,1
516,34000,25,20000,4,10.0,8.88,1
517,40000,24,20000,1,4.0,12.53,1
518,20000,26,4800,5,5.0,5.99,0
519,42000,25,20000,3,2.0,13.47,1
520,42224,22,20000,6,7.0,6.99,1
521,20000,25,5650,1,0.0,15.99,0
522,37212,22,20000,2,6.0,16.69,1
523,38000,25,20000,5,9.0,11.11,1
524,45000,22,20000,3,0.0,7.9,1
525,45000,23,20000,1,4.0,10.25,1
526,20000,23,1200,5,7.0,7.49,0
527,45000,22,20000,2,1.0,13.92,1
528,39000,24,20000,5,5.0,14.74,1
529,46500,24,20000,3,5.0,10.62,1
530,48000,22,20000,6,7.0,10.65,1
531,42000,22,20000,1,1.0,12.99,1
532,48500,22,20000,6,1.0,11.36,1
533,20000,22,7500,3,3.0,5.79,0
534,49400,23,20000,3,0.0,6.54,1
535,20000,25,4000,6,1.0,5.79,0
536,50000,25,20000,2,10.0,7.49,1
537,50000,25,20000,3,9.0,13.43,1
538,50000,22,20000,2,6.0,13.22,1
539,20000,22,5000,6,1.0,14.72,0
540,44000,22,20000,3,2.0,15.68,1
541,50950,25,20000,4,5.0,11.48,1
542,51000,24,20000,6,8.0,10.38,1
543,51000,22,20000,3,5.0,12.53,1
544,51000,22,20000,3,0.0,13.47,1
545,51500,24,20000,6,6.0,12.21,1
546,51996,25,20000,6,9.0,10.99,1
547,52000,25,20000,3,1.0,11.36,1
548,46000,22,20000,2,2.0,16.0,1
549,20000,26,1500,1,1.0,7.74,0
550,52000,24,20000,3,8.0,15.65,1
551,46000,25,20000,2,9.0,11.78,1
552,47000,22,20000,5,5.0,16.77,1
553,54000,22,20000,3,2.0,9.91,1
554,48000,23,20000,5,7.0,15.65,1
555,48000,23,20000,5,0.0,14.96,1
556,54000,23,20000,6,1.0,11.83,1
557,48912,24,20000,5,0.0,11.66,1
558,54996,26,20000,3,8.0,12.18,1
559,55000,24,20000,4,8.0,6.91,1
560,55000,25,20000,2,3.0,6.91,1
561,49000,26,20000,4,0.0,19.79,1
562,55000,25,20000,6,0.0,9.88,1
563,20000,22,16600,1,0.0,9.76,0
564,55000,23,20000,2,5.0,12.53,1
565,20004,23,7125,1,6.0,6.99,0
566,57000,23,20000,3,3.0,16.89,1
567,51012,22,20000,1,1.0,17.49,1
568,20004,23,2500,3,2.0,16.82,0
569,58000,22,20000,2,0.0,13.11,1
570,58800,23,20000,2,7.0,7.66,1
571,59000,26,20000,5,10.0,6.17,1
572,53000,26,20000,1,1.0,16.35,1
573,60000,23,20000,5,7.0,7.9,1
574,54000,24,20000,6,2.0,16.49,1
575,20280,26,7000,4,5.0,8.0,0
576,60000,24,20000,1,0.0,10.99,1
577,20352,24,7750,6,3.0,6.91,0
578,54000,25,20000,1,6.0,8.88,1
579,54000,23,20000,2,6.0,14.84,1
580,54000,23,20000,1,2.0,11.12,1
581,60000,22,20000,3,4.0,7.88,1
582,20400,22,6000,3,6.0,15.99,0
583,20400,24,5500,2,5.0,10.99,0
584,54000,25,20000,1,1.0,15.65,1
585,54000,24,20000,1,1.0,17.04,1
586,60000,23,20000,3,3.0,12.21,1
587,20400,21,1275,3,2.0,15.23,0
588,54000,25,20000,2,1.0,14.11,1
589,60000,24,20000,1,0.0,11.14,1
590,20400,21,2400,5,5.0,11.49,0
591,60000,24,20000,1,8.0,13.87,1
592,60000,26,20000,4,3.0,10.08,1
593,54504,23,20000,1,1.0,16.7,1
594,55000,24,20000,6,2.0,18.64,1
595,61000,24,20000,4,2.0,12.18,1
596,62000,25,20000,5,3.0,6.54,1
597,56000,24,20000,3,3.0,14.61,1
598,56000,21,20000,6,4.0,17.39,1
599,62400,24,20000,4,8.0,11.12,1
600,62400,25,20000,6,7.0,11.48,1
601,63000,25,20000,5,3.0,12.42,1
602,58000,26,20000,2,0.0,10.25,1
603,65000,23,20000,5,0.0,10.65,1
604,20800,24,5000,1,0.0,16.29,0
605,65000,23,20000,5,0.0,10.37,1
606,65000,23,20000,6,7.0,11.49,1
607,20868,25,5375,6,0.0,13.49,0
608,59000,23,20000,3,7.0,12.29,1
609,21000,21,3500,2,5.0,17.27,1
610,65004,26,20000,2,7.0,11.99,1
611,59004,25,20000,1,1.0,14.84,1
612,59004,23,20000,2,5.0,10.83,1
613,65500,23,20000,2,2.0,13.22,1
614,66996,22,20000,3,3.0,12.18,0
615,67000,23,20000,5,0.0,11.11,0
616,67000,24,20000,4,5.0,13.48,0
617,68000,26,20000,3,10.0,10.75,0
618,68000,25,20000,1,4.0,12.53,0
619,62400,24,20000,2,4.0,14.84,1
620,69500,23,20000,6,3.0,17.74,0
621,70000,25,20000,4,5.0,9.99,0
622,70000,22,20000,1,2.0,6.91,0
623,71004,25,20000,1,9.0,14.09,0
624,21000,22,3000,2,4.0,11.49,0
625,71004,23,20000,3,8.0,14.09,0
626,55392,23,20000,5,3.0,15.2,1
627,72000,24,20000,5,5.0,11.83,0
628,21000,24,6000,1,4.0,12.21,0
629,66000,23,20000,6,1.0,14.11,1
630,66000,22,20000,2,3.0,14.42,1
631,72000,24,20000,4,4.0,14.74,0
