ID,Renda Anual,Sexo,Educacao,Estado Civil,Idade,Tempo de Empresa,Situacao
304,20000,2,1,2,25,4,1
309,30000,1,3,1,55,11,1
314,200000,2,3,1,49,7,1
316,60000,1,2,2,23,1,1
321,110000,1,2,2,29,5,1
324,230000,2,2,1,28,10,1
327,220000,2,2,1,41,16,1
328,60000,2,2,1,34,14,1
331,200000,2,2,1,37,14,1
332,130000,2,2,2,40,12,1
339,50000,2,2,1,31,3,1
348,50000,2,2,2,29,13,1
350,30000,2,2,2,26,19,1
353,380000,1,1,2,30,18,1
356,180000,1,2,1,45,2,1
361,500000,2,2,2,23,12,1
364,110000,1,1,1,40,19,1
370,20000,2,2,1,32,8,1
371,180000,1,2,1,36,7,1
380,50000,1,2,2,31,2,1
382,50000,2,2,1,37,1,1
384,170000,2,2,2,28,16,1
388,80000,1,3,1,73,6,1
390,260000,1,1,1,30,14,1
392,280000,2,2,1,39,14,1
403,150000,1,1,2,41,11,1
405,160000,2,1,2,29,11,1
411,60000,2,1,2,23,16,1
414,230000,2,2,2,27,2,1
420,260000,2,1,2,36,2,1
424,200000,1,2,1,38,2,1
427,20000,2,3,2,49,9,1
428,170000,2,1,2,31,8,1
432,390000,2,1,2,27,6,1
436,270000,2,2,1,32,14,1
440,80000,2,1,2,23,19,1
445,240000,1,1,2,44,11,1
451,380000,1,1,1,51,17,1
452,600000,1,1,1,53,5,1
460,70000,1,2,1,48,7,1
466,230000,1,1,1,59,4,1
467,220000,1,1,2,38,6,1
471,390000,2,3,2,35,2,1
482,140000,1,2,2,26,9,1
489,220000,2,2,1,36,6,1
495,80000,2,1,1,28,14,1
504,130000,2,1,1,33,5,1
512,120000,2,2,2,35,13,1
514,50000,1,2,2,23,10,1
523,360000,1,1,2,28,2,1
524,140000,2,2,1,42,12,1
528,620000,2,2,1,45,17,1
533,10000,1,2,2,46,17,1
534,100000,2,3,1,50,3,1
543,30000,2,2,1,36,1,1
547,220000,2,1,1,41,4,1
551,100000,1,3,1,52,19,1
552,190000,2,1,2,41,3,1
553,50000,1,1,1,56,3,1
567,90000,2,1,2,24,9,1
574,160000,2,2,2,60,4,1
576,290000,1,1,1,53,12,1
581,30000,1,2,2,28,19,1
587,220000,1,1,1,43,19,1
588,210000,1,3,2,25,17,1
600,300000,2,2,1,36,1,1
602,30000,1,3,1,59,9,1
612,360000,2,1,2,29,16,1
647,60000,1,3,1,31,12,1
649,280000,2,2,1,44,1,1
654,450000,2,1,1,42,2,1
656,280000,1,2,1,39,11,1
658,190000,2,1,2,28,8,1
662,90000,1,2,1,40,7,1
670,20000,2,1,1,30,4,1
672,20000,1,2,1,34,2,1
673,100000,2,1,2,28,18,1
674,30000,1,2,2,25,3,1
676,90000,1,3,2,42,4,1
677,190000,1,2,2,40,11,1
687,20000,2,3,1,41,6,1
693,200000,2,2,1,29,15,1
703,10000,2,3,2,22,9,1
704,50000,2,2,3,30,6,1
706,50000,1,1,2,26,1,1
718,70000,2,2,1,33,5,1
722,10000,1,2,2,22,7,1
726,10000,1,2,1,45,13,1
730,60000,1,1,2,29,9,1
740,80000,2,2,2,25,9,1
748,300000,2,3,1,34,2,1
749,150000,2,1,2,31,5,1
750,50000,2,2,2,25,8,1
753,50000,1,2,2,26,11,1
758,230000,2,2,1,30,8,1
761,50000,2,2,2,52,19,1
779,50000,2,1,1,32,13,1
783,100000,2,1,2,28,7,1
784,210000,2,1,1,42,18,1
785,230000,2,2,1,32,6,1
802,20000,1,2,2,25,19,1
808,20000,2,3,2,36,18,1
815,120000,1,3,1,33,9,1
817,70000,1,3,1,51,7,1
822,50000,2,2,2,24,10,1
825,40000,1,1,2,27,12,1
833,470000,2,2,1,27,2,1
836,30000,2,3,2,53,17,1
840,500000,1,1,1,43,17,1
844,110000,2,2,2,33,9,1
848,50000,1,2,3,42,17,1
849,150000,1,3,1,37,9,1
857,40000,2,1,2,29,9,1
858,100000,2,3,1,43,3,1
863,30000,2,3,2,52,8,1
882,210000,2,2,1,49,13,1
885,50000,1,3,2,55,13,1
895,240000,2,2,1,37,2,1
897,110000,1,1,3,55,5,1
898,170000,2,1,2,28,16,1
899,90000,2,3,3,51,7,1
907,50000,1,1,2,30,10,1
918,120000,1,1,2,32,13,1
926,180000,1,1,2,27,14,1
932,320000,1,1,1,60,14,1
933,160000,2,2,2,29,1,1
934,30000,1,2,2,32,14,1
939,180000,2,2,1,32,2,1
944,80000,2,2,2,24,3,1
951,30000,1,1,1,27,17,1
958,200000,2,1,1,34,16,1
960,250000,1,1,2,41,9,1
961,380000,1,1,2,43,11,1
971,300000,1,1,1,42,3,1
973,180000,2,3,1,39,15,1
975,140000,1,2,1,30,10,1
977,20000,1,2,2,25,12,1
979,180000,1,2,2,26,6,1
983,500000,1,1,2,36,19,1
986,130000,1,3,2,43,3,1
992,260000,2,1,1,44,6,1
994,360000,2,1,2,25,5,1
995,290000,2,1,2,29,10,1
998,360000,1,1,1,38,16,1
999,50000,2,2,2,23,14,1
1004,360000,1,1,2,36,19,1
1005,150000,2,3,2,30,1,1
1017,160000,2,1,2,26,9,1
1018,140000,2,3,2,57,2,1
1030,30000,2,2,1,67,4,1
1033,140000,2,1,2,31,12,1
1036,60000,1,2,2,27,18,1
1038,180000,1,3,1,54,17,1
1042,230000,2,2,2,52,7,1
1045,20000,2,1,2,22,17,1
1047,220000,1,3,1,30,11,1
1048,140000,2,3,2,24,14,1
1060,20000,1,3,1,33,1,1
1061,60000,2,3,1,34,15,1
1063,280000,2,2,1,56,14,1
1065,30000,2,3,1,55,8,1
1068,240000,1,2,2,43,11,1
1072,150000,2,2,1,44,7,1
1084,50000,2,1,2,25,13,1
1087,410000,2,2,1,41,2,1
1094,360000,1,2,1,41,10,1
1101,210000,2,3,2,46,3,1
1102,30000,2,2,2,24,8,1
1105,20000,2,2,1,35,4,1
1109,80000,1,2,1,54,3,1
1117,150000,2,2,2,37,11,1
1119,140000,2,3,1,54,18,1
1121,200000,2,2,2,40,10,1
1122,20000,1,2,2,30,17,1
1130,50000,2,2,2,23,17,1
1131,230000,2,2,1,34,17,1
1145,100000,2,2,1,35,18,1
1146,240000,1,2,1,32,18,1
1147,70000,2,1,2,31,5,1
1153,180000,2,2,2,42,6,1
1171,140000,2,1,2,28,19,1
1175,140000,2,2,1,29,19,1
1176,180000,1,2,2,25,17,1
1183,90000,2,2,1,55,14,1
1187,20000,1,2,1,30,10,1
1193,270000,2,2,2,34,10,1
1199,340000,2,3,2,44,4,1
1206,210000,2,2,1,29,2,1
1207,70000,2,3,1,49,19,1
1209,230000,2,2,1,51,3,1
1210,20000,1,3,1,23,18,1
1213,290000,2,1,1,30,15,1
1224,150000,2,2,1,42,19,1
1226,20000,1,3,2,22,6,1
1229,90000,2,2,1,23,11,1
1231,50000,2,2,2,22,11,1
1236,30000,1,2,2,54,1,1
1237,50000,1,2,2,27,16,1
1239,120000,1,2,1,57,2,1
1244,100000,2,3,1,50,18,1
1247,170000,1,1,1,39,11,1
1250,350000,2,1,1,52,5,1
1252,200000,2,1,2,29,18,1
1262,380000,1,2,1,50,3,1
1264,150000,2,3,1,43,3,1
1269,120000,1,2,2,37,13,1
1276,20000,1,1,2,26,18,1
1289,20000,2,3,1,48,8,1
1294,250000,2,2,2,36,18,1
1299,80000,2,1,2,29,15,1
1300,70000,1,2,1,37,7,1
1302,10000,2,3,2,22,18,1
1304,140000,1,2,2,26,19,1
1311,160000,1,2,1,31,10,1
1316,140000,1,2,1,48,16,1
1333,160000,2,2,1,38,4,1
1335,300000,2,3,2,29,1,1
1337,70000,2,2,2,26,10,1
1340,50000,2,3,1,53,10,1
1343,50000,2,1,2,22,18,1
1345,200000,1,1,1,38,9,1
1350,10000,2,2,2,49,14,1
1352,280000,2,1,1,39,4,1
1358,20000,2,2,1,22,4,1
1363,260000,2,2,1,37,15,1
1368,50000,1,3,2,22,4,1
1391,60000,1,2,1,37,1,1
1397,180000,2,2,2,24,18,1
1403,70000,2,2,1,44,5,1
1406,300000,2,1,1,45,13,1
1409,220000,2,2,2,25,11,1
1429,210000,2,1,1,37,1,1
1432,70000,2,2,1,42,19,1
1433,230000,1,2,2,32,18,1
1436,100000,1,1,2,31,8,1
1437,80000,2,1,2,29,1,1
1443,100000,1,3,1,44,19,1
1445,40000,1,1,2,24,13,1
1447,210000,2,1,1,37,5,1
1450,60000,2,3,1,50,10,1
1452,290000,2,1,2,33,12,1
1458,500000,1,2,1,42,5,1
1459,90000,2,3,2,24,16,1
1461,50000,2,2,1,37,18,1
1467,140000,2,1,2,23,17,1
1470,160000,2,3,2,29,17,1
1472,20000,1,2,2,21,5,1
1475,110000,2,3,2,29,4,1
1479,210000,2,1,2,30,8,1
1486,20000,2,2,3,44,5,1
1489,50000,1,1,2,28,7,1
1490,50000,2,1,2,29,5,1
1497,360000,2,2,2,35,16,1
1510,180000,2,1,1,27,6,1
1514,210000,2,3,2,33,8,1
1518,190000,1,3,1,49,9,1
1524,30000,2,1,2,27,13,1
1527,90000,2,2,1,25,10,1
1539,130000,2,2,2,25,9,1
1541,20000,1,2,2,22,9,1
1545,360000,2,2,2,34,4,1
1546,240000,2,2,1,44,7,1
1549,500000,2,1,2,42,15,1
1551,170000,1,2,1,48,11,1
1556,340000,1,1,1,52,1,1
1559,50000,2,3,1,31,17,1
1560,240000,2,3,1,38,17,1
1565,300000,2,1,1,30,17,1
1570,30000,2,2,2,23,18,1
1574,50000,1,1,2,24,5,1
1600,50000,1,1,2,33,8,1
1607,160000,1,1,1,51,19,1
1608,270000,2,1,1,37,10,1
1614,130000,2,1,1,35,12,1
1616,320000,1,1,1,35,1,1
1617,20000,1,2,3,35,3,1
1620,90000,2,2,2,33,19,1
1626,20000,1,3,1,63,4,1
1628,50000,2,2,1,47,9,1
1639,70000,2,1,2,34,15,1
1643,20000,1,2,2,44,6,1
1645,50000,1,3,1,72,19,1
1646,50000,1,2,1,48,19,1
1647,50000,2,1,2,27,4,1
1654,300000,1,1,1,43,10,1
1657,150000,2,1,2,29,13,1
1662,30000,2,2,1,39,8,1
1664,500000,2,1,2,36,2,1
1668,200000,1,2,1,42,1,1
1676,50000,1,2,2,49,15,1
1681,220000,2,2,2,31,9,1
1690,50000,1,3,1,46,4,1
1695,80000,2,2,2,25,11,1
1697,20000,1,2,1,35,11,1
1703,150000,2,1,2,30,1,1
1706,20000,1,3,2,32,15,1
1711,100000,2,1,2,30,9,1
1713,180000,1,3,1,33,11,1
1718,170000,1,1,2,37,9,1
1720,50000,2,3,1,40,10,1
1723,90000,1,2,1,44,8,1
1728,60000,2,2,1,42,14,1
1731,150000,2,1,1,31,17,1
1732,250000,2,2,2,33,17,1
1737,80000,2,2,2,29,13,1
1739,20000,2,2,2,23,2,1
1741,140000,1,1,1,54,8,1
1752,10000,1,2,2,38,10,1
1766,30000,2,1,2,27,11,1
1767,20000,2,1,2,24,3,1
1770,50000,2,2,1,46,17,1
1774,50000,1,2,2,25,1,1
1776,80000,2,2,1,37,14,1
1778,40000,1,3,1,43,19,1
1786,220000,1,2,1,60,19,1
1787,40000,2,2,1,25,7,1
1795,120000,2,3,2,37,17,1
1801,160000,2,2,1,35,14,1
1805,450000,1,1,2,31,13,1
1813,100000,1,2,2,39,6,1
1821,120000,1,1,1,54,14,1
1827,260000,2,2,1,35,6,1
1831,20000,1,3,1,38,9,1
1836,50000,2,2,2,37,1,1
1838,290000,2,2,1,40,14,1
1840,160000,2,3,1,51,6,1
1842,200000,2,1,2,39,6,1
1844,20000,1,1,2,41,5,1
1846,180000,2,3,1,39,1,1
1848,30000,1,2,2,26,9,1
1850,150000,1,1,2,28,3,1
1862,10000,1,2,2,35,18,1
1869,160000,2,3,1,41,19,1
1870,40000,2,2,1,23,6,1
1875,140000,1,2,1,34,3,1
1880,30000,2,2,2,47,8,1
1882,150000,2,2,1,34,17,1
1885,100000,2,1,2,28,13,1
1890,210000,2,3,2,36,9,1
1894,130000,2,1,1,38,18,1
1895,100000,1,2,2,30,6,1
1911,360000,1,1,1,38,12,1
1921,100000,2,1,1,51,17,1
1923,20000,1,2,2,33,11,1
1925,220000,1,1,2,28,5,1
1932,20000,2,1,2,24,1,1
1935,300000,2,1,2,28,15,1
1937,20000,2,1,2,24,9,1
1938,360000,2,2,2,27,14,1
1945,220000,1,1,2,34,17,1
1946,10000,2,1,2,27,1,1
1954,50000,1,1,2,22,14,1
1957,220000,2,1,1,42,2,1
1961,30000,2,2,2,37,10,1
1965,150000,2,1,1,38,19,1
1969,70000,1,1,2,30,5,1
1972,20000,1,2,1,40,10,1
1975,130000,1,1,2,25,13,1
1980,500000,2,1,1,35,3,1
1981,150000,2,1,1,38,14,1
1982,80000,2,3,2,40,13,1
1984,80000,1,1,2,37,8,1
1986,50000,2,2,2,49,3,1
1990,50000,1,2,2,42,2,1
1992,360000,1,1,2,65,9,1
2001,10000,1,2,2,22,16,1
2004,50000,2,2,2,33,12,1
2009,360000,2,2,1,32,4,1
2013,20000,2,2,2,40,13,1
2016,390000,2,3,1,38,9,1
2017,20000,2,2,2,22,9,1
2018,200000,1,2,1,42,1,1
2020,50000,2,2,1,36,10,1
2026,20000,2,2,1,42,11,1
2029,70000,1,2,2,31,15,1
2030,30000,2,2,1,24,3,1
2044,50000,2,2,2,28,10,1
2046,110000,1,2,2,26,13,1
2056,130000,1,3,1,46,10,1
2057,80000,2,2,2,30,12,1
2065,180000,1,2,1,26,16,1
2069,30000,1,3,1,50,11,1
2078,150000,1,2,1,55,14,1
2087,110000,1,2,1,36,5,1
2090,90000,2,1,1,41,8,1
2097,80000,2,3,1,37,6,1
2100,50000,2,1,2,24,6,1
2103,10000,2,3,1,53,4,1
2106,20000,1,1,2,23,17,1
2112,320000,1,2,1,41,5,1
2114,50000,1,2,2,33,6,1
2115,70000,2,2,1,44,5,1
2117,230000,1,2,2,27,4,1
2118,20000,1,3,2,43,12,1
2125,350000,1,1,2,42,2,1
2129,50000,2,3,2,52,3,1
2131,140000,1,1,1,57,14,1
2135,160000,1,2,1,66,18,1
2140,260000,1,1,1,43,16,1
2143,70000,2,3,3,49,16,1
2144,20000,1,3,1,41,14,1
2145,20000,2,2,1,27,9,1
2149,60000,1,1,1,49,13,1
2156,110000,2,1,2,29,15,1
2157,290000,2,1,2,25,12,1
2168,400000,1,2,1,49,5,1
2187,30000,2,3,1,39,14,1
2188,30000,1,1,1,57,9,1
2200,20000,1,2,1,37,1,1
2201,140000,2,1,2,30,3,1
2208,120000,2,2,2,32,16,1
2218,110000,1,2,2,24,16,1
2219,50000,1,2,2,58,19,1
2220,340000,2,1,1,41,14,1
2221,50000,2,2,1,32,12,1
2226,60000,1,1,2,31,5,1
2227,310000,1,1,1,43,3,1
2232,230000,2,1,2,49,13,1
2242,90000,2,3,2,27,8,1
2244,90000,2,3,2,28,11,1
2248,280000,1,2,1,36,8,1
2249,120000,2,1,2,30,16,1
2250,550000,2,2,1,32,5,1
2257,30000,2,2,2,25,6,1
2262,100000,1,3,2,30,5,1
2266,50000,2,2,2,26,6,1
2269,30000,1,2,1,39,3,1
2279,50000,2,3,1,37,5,1
2285,50000,2,3,1,49,15,1
2290,30000,1,3,2,39,6,1
2293,80000,2,3,1,43,16,1
2295,150000,2,1,2,29,12,1
2298,500000,1,1,1,37,1,1
2302,230000,2,1,1,30,1,1
2304,180000,1,2,2,32,13,1
2319,360000,2,1,2,26,1,1
2325,200000,2,2,2,39,3,1
2332,90000,2,1,2,29,17,1
2337,50000,2,2,1,28,13,1
2348,260000,2,2,2,25,12,1
2350,130000,1,2,2,27,6,1
2353,20000,1,2,1,34,19,1
2357,440000,2,1,1,54,8,1
2364,220000,1,1,2,34,11,1
2366,130000,1,3,2,49,11,1
2375,50000,2,2,2,25,16,1
2376,40000,1,2,1,38,5,1
2378,210000,1,1,2,33,18,1
2379,60000,1,2,2,30,8,1
2391,180000,1,2,2,29,11,1
2393,50000,1,3,1,32,18,1
2404,320000,1,1,2,32,9,1
2406,50000,2,3,2,43,16,1
2408,420000,1,2,2,31,5,1
2413,30000,1,2,3,50,11,1
2415,30000,1,2,1,38,9,1
2418,30000,2,3,2,24,11,1
2422,20000,2,2,1,24,19,1
2428,50000,1,1,2,33,12,1
2430,170000,2,2,2,24,14,1
2431,160000,1,1,1,36,12,1
2433,30000,2,2,1,34,1,1
2435,120000,2,2,2,25,13,1
2436,150000,2,1,1,49,15,1
2437,100000,2,3,1,24,18,1
2438,30000,1,2,2,24,10,1
2442,340000,2,1,1,35,11,1
2446,200000,1,2,2,25,16,1
2448,50000,2,2,2,41,11,1
2450,290000,1,1,1,57,7,1
2451,30000,2,3,1,44,19,1
2462,30000,2,2,2,26,13,1
2463,30000,1,1,2,28,4,1
2464,20000,1,2,2,27,6,1
2465,380000,2,3,1,56,5,1
2466,100000,2,3,1,29,3,1
2467,180000,1,2,2,32,10,1
2471,140000,2,1,2,29,14,1
2472,20000,1,1,2,29,17,1
2481,20000,1,2,2,23,17,1
2483,200000,2,1,2,34,3,1
2484,80000,2,2,1,23,10,1
2488,200000,1,2,1,46,4,1
2489,110000,2,2,1,33,11,1
2492,300000,1,1,2,31,12,1
2495,30000,1,3,1,26,18,1
2499,50000,1,3,1,36,4,1
2501,330000,1,1,1,34,18,1
2504,260000,1,1,2,30,18,1
2507,110000,2,3,2,41,10,1
2508,20000,1,2,2,48,12,1
2510,30000,1,3,1,28,16,1
2511,30000,2,1,2,24,19,1
2512,420000,2,1,1,37,8,1
2513,340000,1,1,1,34,17,1
2531,30000,1,2,2,24,7,1
2532,240000,1,3,1,35,5,1
2537,260000,2,2,1,36,10,1
2538,160000,1,2,1,26,15,1
2542,100000,2,1,1,35,15,1
2545,20000,1,2,2,25,15,1
2546,40000,1,1,2,24,1,1
2553,20000,2,3,1,31,8,1
2558,200000,2,1,2,28,9,1
2561,310000,2,1,2,32,2,1
2563,140000,1,1,1,40,12,1
2580,20000,2,3,2,22,17,1
2583,110000,2,3,1,46,3,1
2587,60000,1,3,2,34,4,1
2590,210000,2,2,1,35,17,1
2601,130000,2,3,2,36,8,1
2603,10000,1,3,2,25,2,1
2608,490000,1,3,1,51,14,1
2609,20000,2,2,1,26,19,1
2617,380000,1,3,1,44,12,1
2618,50000,2,2,1,31,16,1
2620,150000,2,2,1,42,4,1
2630,30000,2,2,1,32,13,1
2633,330000,1,1,2,45,18,1
2634,50000,1,2,1,30,5,1
2635,200000,2,1,1,42,12,1
2641,80000,2,3,1,35,9,1
2642,50000,2,3,1,42,10,1
2645,170000,2,2,1,49,9,1
2647,310000,2,1,2,25,13,1
2648,210000,1,1,2,31,10,1
2651,170000,1,1,1,40,19,1
2652,260000,2,1,2,25,4,1
2656,260000,2,1,1,35,5,1
2657,100000,1,1,2,27,11,1
2661,200000,1,1,2,29,3,1
2665,50000,2,2,2,36,7,1
2670,10000,1,5,1,43,17,1
2672,320000,2,1,1,38,5,1
2685,60000,1,1,1,42,12,1
2689,290000,2,1,2,30,15,1
2707,30000,1,2,1,47,12,1
2723,140000,1,1,2,41,14,1
2732,250000,1,1,2,31,18,1
2738,240000,2,2,1,47,1,1
2747,80000,2,2,1,34,19,1
2749,260000,1,2,1,43,7,1
2750,120000,1,1,1,43,5,1
2753,30000,2,3,1,36,14,1
2754,30000,2,2,2,22,14,1
2757,200000,1,2,1,31,12,1
2768,80000,2,2,2,24,17,1
2773,50000,2,1,2,25,14,1
2777,180000,2,2,1,39,11,1
2779,260000,2,2,1,39,2,1
2781,180000,2,2,1,34,16,1
2785,100000,2,1,2,27,8,1
2788,80000,2,3,2,27,8,1
2790,50000,1,1,3,25,13,1
2791,50000,2,2,1,50,8,1
2795,150000,2,1,1,33,19,1
2796,50000,1,1,2,23,1,1
2802,140000,1,2,2,28,7,1
2803,50000,1,2,1,46,19,1
2812,50000,2,2,2,24,6,1
2818,50000,2,1,2,24,11,1
2822,30000,2,3,1,60,7,1
2824,30000,2,3,1,57,15,1
2825,200000,2,2,1,31,1,1
2826,40000,2,2,1,29,19,1
2829,80000,2,2,2,24,18,1
2836,50000,1,1,1,27,16,1
2852,30000,2,2,1,39,8,1
2853,90000,2,2,1,24,5,1
2855,50000,2,2,2,25,10,1
2859,500000,1,1,1,40,1,1
2861,70000,2,1,2,25,4,1
2862,220000,2,1,2,35,10,1
2896,200000,1,1,1,43,13,1
2899,20000,1,1,2,37,15,1
2903,30000,2,2,2,33,13,1
2904,60000,2,3,1,36,5,1
2908,500000,1,2,1,38,1,1
2909,100000,1,2,2,35,15,1
2913,50000,2,1,2,29,7,1
2919,120000,2,2,2,23,2,1
2924,130000,1,2,2,26,17,1
2927,30000,2,2,1,34,14,1
2928,160000,1,1,2,34,2,1
2936,20000,2,2,1,35,5,1
2943,290000,2,2,2,30,14,1
2945,90000,2,1,2,28,8,1
2948,100000,2,2,2,27,8,1
2957,50000,2,1,2,22,18,1
2963,100000,1,1,2,32,9,1
2968,120000,1,2,1,47,8,1
2977,110000,1,3,2,32,18,1
2988,60000,1,2,1,56,13,1
2991,50000,2,3,1,52,14,1
2992,100000,2,1,1,33,10,1
2994,240000,1,2,1,38,11,1
2996,80000,2,2,1,32,13,1
2997,210000,2,2,1,27,3,1
2999,50000,2,2,1,38,18,1
3003,30000,1,3,1,44,12,1
3004,50000,1,1,1,41,8,1
3010,30000,1,3,2,25,6,1
3016,350000,1,1,1,38,6,1
3018,30000,1,3,2,36,7,1
3020,140000,2,3,2,59,12,1
3021,30000,1,3,1,44,17,1
3024,100000,2,3,1,36,1,1
3025,100000,2,3,1,36,13,1
3027,350000,1,1,1,31,6,1
3041,60000,1,1,1,38,6,1
3044,70000,2,1,1,40,3,1
3055,350000,1,1,1,60,18,1
3061,150000,2,3,1,45,17,1
3066,70000,1,1,2,25,9,1
3068,310000,2,1,1,33,1,1
3072,180000,2,1,2,28,2,1
3074,360000,1,1,2,30,13,1
3077,50000,1,3,2,22,18,1
3078,240000,1,2,1,48,16,1
3095,150000,2,1,1,44,8,1
3101,400000,2,3,1,41,8,1
3104,260000,2,1,2,29,12,1
3133,80000,1,2,1,54,10,1
3134,210000,2,2,1,37,10,1
3141,20000,2,2,2,49,14,1
3144,70000,2,2,1,41,12,1
3148,50000,2,2,2,21,4,1
3151,500000,2,3,2,52,2,1
3154,20000,2,2,2,26,19,1
3157,70000,2,2,1,28,10,1
3163,280000,2,1,2,38,11,1
3167,120000,2,1,2,31,8,1
3171,20000,2,1,2,23,15,1
3172,90000,1,2,1,35,9,1
3179,10000,1,1,2,24,5,1
3186,30000,1,1,2,28,9,1
3188,360000,1,1,1,52,1,1
3192,70000,2,2,2,23,5,1
3195,20000,2,1,2,38,18,1
3200,180000,1,2,2,34,12,1
3201,60000,2,2,1,26,2,1
3202,20000,1,1,1,30,18,1
3206,200000,1,1,2,34,5,1
3217,20000,2,1,2,25,10,1
3224,30000,2,2,2,28,8,1
3231,220000,2,2,1,48,16,1
3236,400000,2,3,1,50,2,1
3242,200000,1,3,1,40,10,1
3243,240000,2,2,1,56,19,1
3244,30000,2,1,2,22,8,1
3248,120000,2,2,2,28,16,1
3254,50000,1,3,1,47,3,1
3257,80000,2,2,2,24,3,1
3258,360000,1,2,1,65,2,1
3265,20000,1,2,1,62,18,1
3266,400000,2,2,2,39,8,1
3271,320000,2,2,2,29,2,1
3276,20000,1,3,2,59,18,1
3278,130000,2,1,2,33,3,1
3288,30000,2,1,1,30,9,1
3291,80000,2,2,2,24,16,1
3292,120000,1,1,2,31,1,1
3296,80000,2,2,1,37,5,1
3299,230000,2,2,2,26,3,1
3300,370000,1,2,2,39,11,1
3303,20000,1,2,2,23,16,1
3305,220000,2,2,2,29,14,1
3311,110000,2,1,1,31,11,1
3319,200000,1,2,1,36,8,1
3326,140000,2,1,2,28,10,1
3328,500000,2,1,2,31,19,1
3333,500000,1,1,1,59,1,1
3336,30000,2,3,1,41,11,1
3337,80000,1,1,2,31,4,1
3340,550000,1,1,1,49,9,1
3344,300000,2,2,1,27,6,1
3345,30000,2,3,1,29,8,1
3346,50000,2,2,2,25,12,1
3347,250000,2,2,1,33,12,1
3351,30000,1,2,1,44,1,1
3358,50000,2,3,1,27,2,1
3359,130000,2,2,1,28,16,1
3364,420000,1,2,1,37,8,1
3365,140000,1,2,1,28,8,1
3366,500000,2,1,1,37,5,1
3368,90000,2,2,1,48,13,1
3371,30000,1,2,2,36,4,1
3384,110000,2,2,1,36,18,1
3385,200000,2,2,1,37,14,1
3391,20000,1,2,2,44,17,1
3398,40000,2,2,1,45,10,1
3400,50000,1,3,2,22,9,1
3403,710000,2,2,1,40,1,1
3411,10000,1,2,2,26,9,1
3414,150000,1,1,2,33,6,1
3424,60000,2,3,1,43,1,1
3431,240000,2,2,1,40,4,1
3435,190000,1,1,1,55,2,1
3443,300000,2,2,1,37,5,1
3447,200000,2,2,2,33,16,1
3448,150000,2,1,2,26,9,1
3451,150000,1,2,2,36,4,1
3458,280000,1,2,1,46,7,1
3460,230000,1,2,2,30,4,1
3471,140000,1,1,2,32,16,1
3472,40000,1,1,1,28,7,1
3477,50000,1,2,2,40,15,1
3482,40000,2,1,2,23,19,1
3484,50000,1,1,1,29,15,1
3486,50000,2,3,1,42,3,1
3491,80000,1,1,1,45,4,1
3500,260000,2,2,1,34,3,1
3501,30000,2,3,1,56,6,1
3504,50000,2,1,2,26,19,1
3510,50000,2,2,2,27,3,1
